,index,zeit,kapazitaet,ladezustand,ladetyp,nr
81,368,2023-01-01 10:35:00,960,0.30647758115049517,MCS,4
82,369,2023-01-01 09:55:00,840,0.3725794071988528,MCS,3
83,370,2023-01-01 20:05:00,720,0.0528152060910154,NCS,2
84,371,2023-01-01 19:30:00,840,0.11432486436486701,NCS,3
85,374,2023-01-01 19:40:00,960,0.12883258860622282,NCS,4
86,375,2023-01-01 20:55:00,840,0.3054346619628144,NCS,3
87,377,2023-01-01 19:30:00,720,0.3628236664101317,MCS,2
88,379,2023-01-01 19:30:00,960,0.1291715537269431,NCS,4
89,380,2023-01-01 10:40:00,960,0.1826626067784206,MCS,4
90,382,2023-01-01 19:45:00,840,0.06389563190612627,MCS,3
91,383,2023-01-01 14:00:00,600,0.0699071922189528,MCS,1
92,386,2023-01-01 20:45:00,600,0.2785374115883023,MCS,1
93,387,2023-01-01 19:30:00,960,0.16862871878371552,MCS,4
94,389,2023-01-01 18:30:00,960,0.0711186656892998,NCS,4
95,390,2023-01-01 11:25:00,960,0.3509236675587685,MCS,4
96,392,2023-01-01 21:15:00,960,0.2800754870730276,NCS,4
97,394,2023-01-01 21:00:00,600,0.21520473693827036,NCS,1
98,396,2023-01-01 15:55:00,960,0.26510770971820513,MCS,4
99,398,2023-01-01 19:40:00,720,0.20871383339490823,NCS,2
100,402,2023-01-01 19:45:00,840,0.30674860043236135,NCS,3
101,404,2023-01-01 21:05:00,600,0.3786682001636451,NCS,1
102,405,2023-01-01 19:20:00,720,0.1641367270916888,NCS,2
103,407,2023-01-01 22:45:00,840,0.11232995492356346,NCS,3
104,408,2023-01-01 22:30:00,720,0.39087710969866335,NCS,2
105,409,2023-01-01 13:15:00,720,0.3444321132155929,MCS,2
106,412,2023-01-01 13:45:00,840,0.07743495901659227,MCS,3
107,415,2023-01-01 18:30:00,840,0.19767036694595203,NCS,3
108,417,2023-01-01 13:10:00,600,0.1334006202591092,MCS,1
109,419,2023-01-01 23:10:00,840,0.3955669798327968,NCS,3
110,420,2023-01-01 20:45:00,600,0.0907040993622528,NCS,1
111,422,2023-01-01 23:00:00,840,0.27668939509216817,NCS,3
112,423,2023-01-01 21:25:00,720,0.21365888814757578,NCS,2
113,426,2023-01-01 13:05:00,720,0.25283632375791554,MCS,2
114,428,2023-01-01 21:25:00,960,0.2967065985017691,NCS,4
115,429,2023-01-01 21:45:00,960,0.11155583746749534,NCS,4
116,430,2023-01-01 11:10:00,840,0.06565389598470064,MCS,3
117,431,2023-01-01 18:50:00,840,0.2663473258247533,NCS,3
118,432,2023-01-01 21:00:00,960,0.07400046439905258,NCS,4
119,433,2023-01-01 13:15:00,840,0.34297523476524594,MCS,3
120,437,2023-01-01 20:35:00,840,0.09807357468974104,NCS,3
121,440,2023-01-01 19:45:00,960,0.36745985283157123,NCS,4
122,441,2023-01-01 22:10:00,960,0.25560612944141026,NCS,4
123,442,2023-01-01 18:25:00,720,0.09579374893312856,NCS,2
124,445,2023-01-01 09:55:00,720,0.3568444320451924,MCS,2
125,446,2023-01-01 20:10:00,960,0.07609966051288866,NCS,4
126,448,2023-01-01 11:25:00,720,0.24683091697300463,MCS,2
127,450,2023-01-01 19:35:00,840,0.22878591384580244,MCS,3
128,451,2023-01-01 18:50:00,720,0.08057948535384955,NCS,2
129,453,2023-01-01 23:30:00,600,0.29837124999884485,NCS,1
130,457,2023-01-01 19:30:00,600,0.2642314947923529,NCS,1
131,458,2023-01-01 09:50:00,960,0.07436745567803417,MCS,4
132,461,2023-01-01 18:55:00,840,0.15186038462240892,NCS,3
133,462,2023-01-01 18:35:00,840,0.23336495187124412,NCS,3
134,465,2023-01-01 13:10:00,840,0.3171436876291552,MCS,3
135,466,2023-01-01 13:15:00,840,0.38043864237606295,MCS,3
136,468,2023-01-01 20:00:00,720,0.1918125232253835,MCS,2
137,470,2023-01-01 21:15:00,600,0.2401043330686249,NCS,1
138,471,2023-01-01 20:55:00,600,0.22767212327170766,NCS,1
139,472,2023-01-01 16:35:00,960,0.25143501036789373,MCS,4
140,473,2023-01-01 20:20:00,600,0.32040010073127195,NCS,1
141,475,2023-01-01 20:00:00,720,0.30346340387699,NCS,2
142,476,2023-01-01 19:45:00,720,0.07456393175210572,NCS,2
143,479,2023-01-01 23:40:00,600,0.26232294288218383,NCS,1
144,482,2023-01-01 13:10:00,840,0.12323961380670713,MCS,3
145,483,2023-01-01 15:05:00,600,0.1964206416959277,MCS,1
146,484,2023-01-01 18:00:00,960,0.2885476186900182,MCS,4
147,485,2023-01-01 10:50:00,960,0.06871675051631113,MCS,4
148,488,2023-01-01 10:50:00,720,0.3041728363656175,MCS,2
149,490,2023-01-01 15:30:00,960,0.30621102757613006,MCS,4
150,491,2023-01-01 11:35:00,600,0.3512442223865635,MCS,1
151,492,2023-01-01 19:35:00,840,0.12336684408876097,NCS,3
152,493,2023-01-01 21:05:00,600,0.21628848961466812,NCS,1
153,494,2023-01-01 14:50:00,720,0.23382904553845385,MCS,2
154,497,2023-01-01 14:45:00,960,0.2423950126997948,MCS,4
155,499,2023-01-01 21:35:00,600,0.05554660729785718,NCS,1
156,500,2023-01-01 18:35:00,600,0.35575791107175303,NCS,1
157,501,2023-01-01 11:05:00,960,0.07894640387880526,MCS,4
158,503,2023-01-01 21:05:00,840,0.2920362756852645,NCS,3
159,504,2023-01-01 23:55:00,840,0.12261673120605694,NCS,3
160,505,2023-01-01 18:15:00,720,0.07626821543012366,NCS,2
161,506,2023-01-01 11:10:00,960,0.15092781591844354,MCS,4
162,507,2023-01-01 12:10:00,600,0.1355792919820878,MCS,1
163,509,2023-01-01 12:30:00,600,0.37851936470960146,MCS,1
164,510,2023-01-01 19:45:00,960,0.2836004196143918,NCS,4
165,512,2023-01-01 10:35:00,840,0.29904210578274937,MCS,3
166,513,2023-01-01 15:05:00,720,0.24059736299030027,MCS,2
167,514,2023-01-01 20:15:00,840,0.17866470147357605,NCS,3
168,516,2023-01-01 13:55:00,960,0.3552603603249681,MCS,4
169,518,2023-01-01 19:00:00,960,0.25848601259868476,NCS,4
170,519,2023-01-01 22:35:00,720,0.0637816474068391,MCS,2
171,520,2023-01-01 09:55:00,720,0.12852420155492458,MCS,2
172,522,2023-01-01 18:55:00,840,0.27516795331855753,NCS,3
173,523,2023-01-01 22:00:00,960,0.23764501400587218,NCS,4
174,524,2023-01-01 09:50:00,840,0.26053222907406653,MCS,3
175,525,2023-01-01 11:25:00,720,0.1753398064382773,MCS,2
176,526,2023-01-01 23:25:00,720,0.12809901606022533,NCS,2
177,528,2023-01-01 23:00:00,840,0.34408545822840425,NCS,3
178,529,2023-01-01 19:40:00,960,0.3833601962126319,NCS,4
179,532,2023-01-01 20:50:00,960,0.3841275514619079,NCS,4
180,533,2023-01-01 19:10:00,720,0.35239583314493994,NCS,2
181,535,2023-01-01 09:55:00,840,0.1666496806349519,MCS,3
182,536,2023-01-01 23:50:00,840,0.1401244492493963,NCS,3
183,537,2023-01-01 20:50:00,720,0.25960285681423395,NCS,2
184,539,2023-01-01 20:40:00,960,0.26740772764669196,NCS,4
185,540,2023-01-01 12:35:00,720,0.1724649764349096,MCS,2
186,541,2023-01-01 20:10:00,960,0.255740627618971,NCS,4
187,544,2023-01-01 15:45:00,840,0.368641007035959,MCS,3
188,545,2023-01-01 11:25:00,960,0.16602022187367196,MCS,4
189,547,2023-01-01 21:20:00,720,0.0878455069419164,NCS,2
190,548,2023-01-01 20:35:00,840,0.36058331611232136,MCS,3
191,549,2023-01-01 18:35:00,720,0.322165442576714,NCS,2
192,550,2023-01-01 20:05:00,600,0.10035864399554319,NCS,1
193,551,2023-01-01 19:25:00,840,0.08108325442544459,NCS,3
194,552,2023-01-01 15:50:00,600,0.20384807932665128,MCS,1
195,553,2023-01-01 18:25:00,960,0.335510493520515,NCS,4
196,555,2023-01-01 12:20:00,960,0.2226540572291414,MCS,4
197,556,2023-01-01 18:50:00,960,0.25307103256356295,NCS,4
198,558,2023-01-01 18:50:00,720,0.1514211357297347,NCS,2
199,561,2023-01-01 19:10:00,600,0.3061943295867311,MCS,1
200,562,2023-01-01 23:15:00,840,0.19324991494068178,NCS,3
201,564,2023-01-01 14:20:00,600,0.22108524574846727,MCS,1
202,565,2023-01-01 11:55:00,720,0.0716070843949971,MCS,2
203,566,2023-01-01 23:00:00,720,0.32301673754856536,NCS,2
204,567,2023-01-01 11:35:00,600,0.2294028428595758,MCS,1
